reference_number,active_or_withdrawn,cited_in_condensed_draft,cited_section,claim_supported,evidence_level,possible_overextension,full_text_priority
1,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
2,active,yes,1.1,No consensus on best population-normalization marker,Abstract-checked,No,See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
3,active,yes,"3.5, 4.2",Flow normalization unreliable under substantial inflow/infiltration,Abstract-checked,"No -- single-study finding correctly scoped as 'in others', not generalized",See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
4,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
5,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
6,active,yes,3.4,Temperature independently accelerates target decay,Abstract-checked,"No -- specific 26C threshold correctly omitted, only qualitative direction retained",See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
7,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
8,active,yes,"3.4, 3.5",Explicit rainfall correction substantially improved correlation with clinical data,Abstract-checked,"No -- this review's strongest single rainfall-correction evidence anchor, correctly scoped to 'one case in this evidence base'",See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
9,active,yes,"3.2, 3.4","Microbial activity is dominant driver of RNA loss, distance-dependent",Abstract-checked,No -- specific rate-constant figures correctly omitted,See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
10,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
11,active,yes,2,WBE captures asymptomatic/undiagnosed infections clinical surveillance misses,Institutional guidance,"No -- general framing claim, not a specific number",See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
12,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
13,active,yes,"3.5, 4.2","Flow normalization outperformed 3 fecal biomarkers in a 182-community, 6-state study",Abstract-checked,"No -- correctly paired with Darling et al. [3] as context-dependent, not a universal ranking",See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
14,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
15,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
16,active,yes,3.2,Sewer biofilms cause substantial RNA loss within hours,Abstract-checked,No -- specific 90%-in-2-hours figure correctly omitted,See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
17,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
18,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
19,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
20,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
21,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
22,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
23,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
24,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
25,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
26,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
27,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
28,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
29,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
30,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
31,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
32,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
33,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
34,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
35,active,yes,5.1,Externally-grounded shedding kernel improves state-observability of deconvolution-based reconstruction,Abstract-checked,No,See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
36,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
37,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
38,active,yes,5.3,ML model achieves useful short-horizon predictive performance across sewersheds without interpretable parameters,Abstract-checked (⚠ metadata partially unresolved),"No -- correctly framed as a legitimate design choice, not a criticism of the study itself",See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
39,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
40,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
41,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
42,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
43,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
44,active,yes,5.2,Bayesian functional-data framework reports posterior state estimates without formal observability testing,Abstract-checked,"No -- correctly framed as illustrative, not as a criticism of the study's stated goals",See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
45,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
46,active,yes,5.4,Formal Bayesian MCMC framework for excretion-fraction uncertainty,Abstract-checked,No,See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
47,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
48,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
49,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
50,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
51,active,yes,6.3,Documented instance of wastewater detection traced to a specific residence,Abstract-checked (metadata-verified),"Fixed this round: condensed text originally read 'documented instances exist' (plural), overstating a single cited example; corrected to singular 'a documented instance exists'",See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
52,active,yes,6.3,"Sewer connectivity systematically, not randomly, associated with demographic/geographic factors",Abstract-checked (metadata-verified),"No -- specific ~80% figure correctly omitted, only the qualitative systematic-distribution finding used",See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
53,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
54,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
55,active,yes,6.1,Anomaly detection is a formal statistical-process-control problem distinct from trend monitoring,Abstract-checked (metadata-verified),No,See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
56,WITHDRAWN,no,"N/A -- withdrawn, correctly not cited",N/A,N/A,N/A -- confirmed absent from condensed draft body (see grep check in Compression Log),"N/A -- do not cite until metadata resolved, per standing project rule"
57,active,yes,6.1,Event-detection framework reports sensitivity advantage over clinical-data baseline in a large U.S. county sample,"Abstract-checked (⚠ preprint, metadata partial)",No -- Phase 3A Option C edit removed the specific 281-county figure and reframed as 'a recent preprint reports...' with explicit single-study/non-peer-reviewed/single-national-context caveats in the same sentence,See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
58,active,yes,6.2,Four-system (hospital/wastewater/weather/search) fusion outperforms single streams in one study,Abstract-checked (metadata-verified),No,See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
59,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
60,active,yes,7.1,Passive-sampler validation across nested spatial scales demonstrates fine-scale early-detection capability,Abstract-checked,No -- specific low-prevalence detection-floor figure correctly omitted,See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
61,active,yes,7.1,Digital twin research is a rapidly growing area with substantial recent growth,Abstract-checked,No,See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
62,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
63,active,yes,7.2,"Hybrid mechanistic-statistical/physics-informed ML frames structure as constraint on, not replacement for, learned component",Abstract-checked,No,See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
64,active,yes,7.2,Standardized reporting/proficiency testing are necessary preconditions for reliable cross-lab public-health decisions,Abstract-checked (⚠ duplicated-surname author-list flag),"Checked, no fix needed: condensed text already reads 'a national metrology working group argues...', correctly attributing this as one group's position rather than a field-wide consensus; the unresolved author-list flag is noted here for full-text-verification priority tracking, not because the claim itself is overextended",See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s)
65,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
66,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
67,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
32b,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it
